city,state,lga,population2026,growthRate,note
"Uvwie","Delta","Uvwie",279922,0.019908328414548038,""
"Biriniwa","Jigawa","Birniwa",279639,0.03445864962045553,""
"Shinkafi","Zamfara","Shinkafi",279376,0.03666487318874201,""
"Ofu","Kogi","Ofu",278102,0.018834192430420504,""
"Okpokwu","Benue","Okpokwu",277871,0.023213424311495867,""
"Ikom","Cross River","Ikom",276947,0.026642200474495947,""
"Rano","Kano","Rano",276215,0.03159604862654297,""
"Ohaji/Egbema","Imo","Ohaji/Egbema",276008,0.020792496652933146,""
"Geidam","Yobe","Geidam",274243,0.02869542711173967,""
"Ekiti South West","Ekiti","Ekiti South West",273453,0.0255551513469523,""
"Obudu","Cross River","Obudu",273170,0.026638404702309826,""
"Kanam","Plateau","Kanam",271588,0.02442354769475652,""
"Ika North East","Delta","Ika North East",271157,0.019904838922009338,""
"Arochukwu","Abia","Arochukwu",270896,0.02377119188529364,""
"Esan South East","Edo","Esan South East",270880,0.02469047069637953,""
"Ese-Odo","Ondo","Ese Odo",270639,0.02719043552519218,""
"Orumba North","Anambra","Orumba North",268993,0.022382783994161937,""
"Logo","Benue","Logo",268335,0.02321475555487762,""
"Karaye","Kano","Karaye",268276,0.03158477593804565,""
"Ezeagu","Enugu","Ezeagu",268064,0.022848334071032816,""
"Nafada","Gombe","Nafada",266972,0.03273374337549795,""
"Gwer East","Benue","Gwer East",266913,0.023215784893638958,""
"Michika","Adamawa","Michika",266781,0.02744015158517432,""
"Oju","Benue","Oju",266706,0.023226370793241635,""
"Kura","Kano","Kura",266454,0.031575931675816404,""
"Owerri North","Imo","Owerri North",266131,0.02079321851866056,""
"Sule Tankarkar","Jigawa","Sule Tankarkar",265435,0.03445520939694613,""
"Nguru","Yobe","Nguru",265264,0.02867336254701991,""
"Kware","Sokoto","Kware",265222,0.03469369443176551,""
"Iwo","Osun","Iwo",265145,0.01644202165179265,""
"Ido-Osi","Ekiti","Ido-Osi",265050,0.025556694848033468,""
"Atiba","Oyo","Atiba",262971,0.02258092112426313,""
